Last updated 09 February,,,,,,,,,,,,,,,,,,,,,
,Team Capability,,,,,,,,Location,,,,,,,,,,,,
Supplier,Performance Analysis and Data ,Security,Service delivery,Software Development,Support and Operations,Testing and Auditing,User Experience and Design,User research,"No specific region, they can work remotely",Scotland,North East England,North West England,Yorkshire and the Humber,East Midlands,West Midlands,East of England,Wales,London,South East England,South West England,Northern Ireland
IndigoBlue Consulting Limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Info-Assure LTD,no,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Securestorm,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no
Jadu Ltd.,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
LA International Computer Consultants Limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
CGI,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Mastek (UK) Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Methods Advisory Ltd,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Incorvus Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
NHS North of England Commissioning Support Unit (Hosted by NHS England),yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Northgate Public Services UK Limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Novosco Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
PDMS Limited (Professional Data Management Services Limited),no,no,no,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no
Prolinx Ltd,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
PTS Consulting Partners LLP,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
RADTAC Limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Rainmaker Solutions,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Redweb Ltd,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
risual Ltd,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
SA Group Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
SCISYS UK Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
